ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,NEWS27,SYSTEM1.TXT,0.54545,0.45378,0.49541,1

ROUGE-2,NEWS28,SYSTEM1.TXT,0.69825,0.98246,0.81633,1

ROUGE-2,NEWS29,SYSTEM1.TXT,0.64463,0.56522,0.60232,1

ROUGE-2,NEWS23,SYSTEM1.TXT,0.65649,0.79630,0.71967,1

ROUGE-2,NEWS24,SYSTEM1.TXT,0.41667,0.66327,0.51181,1

ROUGE-2,NEWS25,SYSTEM1.TXT,0.50761,0.45249,0.47847,1

ROUGE-2,NEWS26,SYSTEM1.TXT,0.50336,0.68807,0.58140,1

ROUGE-2,NEWS30,SYSTEM1.TXT,0.11111,0.23529,0.15094,1

ROUGE-2,NEWS20,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2,NEWS21,SYSTEM1.TXT,0.49112,0.46629,0.47839,1

ROUGE-2,NEWS22,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

